neighborhood,boro,mhi
Bedford Park-Fordham North,Bronx,"$29,549"
East Concourse-Concourse Village,Bronx,"$27,883"
Highbridge,Bronx,"$23,334"
Hunts Point,Bronx,"$22,572"
Melrose South-Mott Haven North,Bronx,"$22,537"
Mott Haven-Port Morris,Bronx,"$20,334"
Mount Hope,Bronx,"$26,195"
North Riverdale-Fieldston-Riverdale,Bronx,"$78,895"
Norwood,Bronx,"$35,319"
Pelham Parkway,Bronx,"$47,806"
Schuylerville-Throgs Neck-Edgewater Park,Bronx,"$67,549"
Soundview-Castle Hill-Clason Point-Harding Park,Bronx,"$36,129"
Spuyten Duyvil-Kingsbridge,Bronx,"$67,534"
University Heights-Morris Heights,Bronx,"$25,073"
Van Cortlandt Village,Bronx,"$40,669"
Van Nest-Morris Park-Westchester Square,Bronx,"$44,588"
West Concourse,Bronx,"$27,637"
West Farms-Bronx River,Bronx,"$29,382"
Westchester-Unionport,Bronx,"$45,536"
Bath Beach,Brooklyn,"$55,193"
Bay Ridge,Brooklyn,"$57,980"
Bedford,Brooklyn,"$37,343"
Bensonhurst East,Brooklyn,"$45,108"
Bensonhurst West,Brooklyn,"$46,137"
Borough Park,Brooklyn,"$35,754"
Brighton Beach,Brooklyn,"$30,872"
Brooklyn Heights-Cobble Hill,Brooklyn,"$105,398"
Bushwick North,Brooklyn,"$42,296"
Bushwick South,Brooklyn,"$37,285"
Canarsie,Brooklyn,"$60,766"
Carroll Gardens-Columbia Street-Red Hook,Brooklyn,"$85,496"
Clinton Hill,Brooklyn,"$66,282"
Crown Heights North,Brooklyn,"$37,104"
Crown Heights South,Brooklyn,"$41,745"
Cypress Hills-City Line,Brooklyn,"$40,432"
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Brooklyn,"$84,945"
Dyker Heights,Brooklyn,"$54,752"
East Flatbush-Farragut,Brooklyn,"$50,889"
East New York,Brooklyn,"$32,973"
East New York (Pennsylvania Ave),Brooklyn,"$29,527"
East Williamsburg,Brooklyn,"$50,777"
Erasmus,Brooklyn,"$40,681"
Flatbush,Brooklyn,"$45,332"
Flatlands,Brooklyn,"$64,519"
Fort Greene,Brooklyn,"$61,990"
Georgetown-Marine Park-Bergen Beach-Mill Basin,Brooklyn,"$72,158"
Gravesend,Brooklyn,"$35,550"
Greenpoint,Brooklyn,"$67,928"
Homecrest,Brooklyn,"$47,882"
Kensington-Ocean Parkway,Brooklyn,"$45,483"
Madison,Brooklyn,"$55,840"
Midwood,Brooklyn,"$43,687"
North Side-South Side,Brooklyn,"$61,381"
Ocean Hill,Brooklyn,"$33,125"
Ocean Parkway South,Brooklyn,"$50,540"
Park Slope-Gowanus,Brooklyn,"$101,784"
Prospect Heights,Brooklyn,"$84,323"
Prospect Lefferts Gardens-Wingate,Brooklyn,"$42,462"
Rugby-Remsen Village,Brooklyn,"$44,027"
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,"$51,314"
Stuyvesant Heights,Brooklyn,"$37,082"
Sunset Park East,Brooklyn,"$35,636"
Sunset Park West,Brooklyn,"$44,165"
West Brighton,Brooklyn,"$38,047"
Williamsburg,Brooklyn,"$21,502"
Windsor Terrace,Brooklyn,"$82,297"
Battery Park City-Lower Manhattan,Manhattan,"$125,434"
Central Harlem North-Polo Grounds,Manhattan,"$34,413"
Central Harlem South,Manhattan,"$48,366"
Chinatown,Manhattan,"$35,908"
Clinton,Manhattan,"$73,591"
East Harlem North,Manhattan,"$26,099"
East Harlem South,Manhattan,"$35,857"
East Village,Manhattan,"$72,665"
Gramercy,Manhattan,"$100,900"
Hamilton Heights,Manhattan,"$39,019"
Hudson Yards-Chelsea-Flat Iron-Union Square,Manhattan,"$101,369"
Lenox Hill-Roosevelt Island,Manhattan,"$98,797"
Lincoln Square,Manhattan,"$120,337"
Lower East Side,Manhattan,"$31,273"
Manhattanville,Manhattan,"$29,182"
Marble Hill-Inwood,Manhattan,"$39,003"
Midtown-Midtown South,Manhattan,"$114,491"
Morningside Heights,Manhattan,"$56,371"
Murray Hill-Kips Bay,Manhattan,"$97,458"
SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,"$118,931"
Stuyvesant Town-Cooper Village,Manhattan,"$95,022"
Turtle Bay-East Midtown,Manhattan,"$113,998"
Upper East Side-Carnegie Hill,Manhattan,"$155,213"
Upper West Side,Manhattan,"$92,268"
Washington Heights North,Manhattan,"$50,192"
Washington Heights South,Manhattan,"$36,518"
West Village,Manhattan,"$112,689"
Yorkville,Manhattan,"$98,840"
Astoria,Queens,"$54,882"
Auburndale,Queens,"$70,772"
Baisley Park,Queens,"$59,357"
Bayside-Bayside Hills,Queens,"$79,120"
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,"$74,718"
Briarwood-Jamaica Hills,Queens,"$58,564"
College Point,Queens,"$58,420"
Corona,Queens,"$44,026"
Douglas Manor-Douglaston-Little Neck,Queens,"$83,749"
East Flushing,Queens,"$55,971"
Elmhurst,Queens,"$47,863"
Elmhurst-Maspeth,Queens,"$55,881"
Flushing,Queens,"$39,840"
Forest Hills,Queens,"$67,881"
Fresh Meadows-Utopia,Queens,"$69,525"
Ft. Totten-Bay Terrace-Clearview,Queens,"$71,784"
Glendale,Queens,"$64,178"
Hammels-Arverne-Edgemere,Queens,"$39,432"
Hunters Point-Sunnyside-West Maspeth,Queens,"$61,736"
Jackson Heights,Queens,"$48,869"
Jamaica,Queens,"$39,763"
Kew Gardens,Queens,"$65,035"
Kew Gardens Hills,Queens,"$61,348"
Maspeth,Queens,"$56,689"
Middle Village,Queens,"$69,763"
Murray Hill,Queens,"$52,696"
North Corona,Queens,"$46,568"
Old Astoria,Queens,"$46,840"
Ozone Park,Queens,"$65,786"
Pomonok-Flushing Heights-Hillcrest,Queens,"$48,386"
Queensboro Hill,Queens,"$53,836"
Queensbridge-Ravenswood-Long Island City,Queens,"$28,378"
Rego Park,Queens,"$50,871"
Richmond Hill,Queens,"$58,473"
Ridgewood,Queens,"$49,776"
South Ozone Park,Queens,"$57,849"
Steinway,Queens,"$60,618"
Whitestone,Queens,"$80,546"
Woodhaven,Queens,"$61,804"
Woodside,Queens,"$50,952"
Great Kills,Staten Island,"$88,868"
New Dorp-Midland Beach,Staten Island,"$78,100"
Port Richmond,Staten Island,"$61,952"
Stapleton-Rosebank,Staten Island,"$56,462"
West New Brighton-New Brighton-St. George,Staten Island,"$48,439"
